nickname,roi,mdd,sharpRatio,winRate,tradingDays
Ankush_deswal,73.00142588,30.04096,3.04423127,70.0,101
BuyHighSellHigher,72.924926,72.194702,,70.9677,27
布欧buou量化日记,72.92051076,8.9158263,1.46381203,89.3939,115
橘子头,72.73398249,30.839964,3.73996432,89.7384,57
StrongQuant,72.188124,33.716725,,96.9697,15
TheAsher,72.163783,61.081518,,85.2941,14
CryptoYJ,72.14631805,43.801353,3.52124117,77.5701,35
慢慢来-不急呀,71.970592,93.017756,2.25599161,87.0968,64
水草先生,71.9685881,24.929636,3.87793542,34.7826,38
赌徒心理,71.932511,11.222033,,75.0,14
Katylis,71.68770909,8.9187375,7.38443761,91.7808,51
水龙果,71.445563,12.619098,,82.3529,8
Wolf-AI,71.40215343,9.1774041,6.18214202,74.2063,129
Luay1411,71.204521,74.819918,4.08716577,94.4099,64
ATA_Stars,70.88098443,2.6235014,1.49949549,96.7033,54
Zoltarr,70.76071822,25.989533,5.30248964,31.1111,37
春秋冬夏,70.529124,12.413892,,90.4762,6
华哥带单,70.480452,42.453401,,100.0,13
Quy_dream,70.43013742,59.79473,4.3671544,94.697,31
GrowMore17,70.276853,28.828705,,83.6207,8
Chebz,70.15840422,71.235133,2.95415713,76.4706,66
Hasan3547,70.02544006,61.7927,1.92838505,75.0,34
爆仓战神,70.002142,30.429745,,77.2727,23
Bro要敬畏市场,69.97277316,21.683423,4.63594085,47.619,30
ZeroToMax,69.798545,14.23457,,86.8852,11
Batman_Trading,69.524283,14.553096,,96.0452,20
浙大七哥-只赚有把握的钱,69.34899235,19.763158,1.77835511,96.0,64
The_CryptoPanda,69.3356215,25.548603,5.34155363,88.5965,57
Haxnoofficials,69.191101,10.963129,,98.9362,18
Martillero,69.00293463,38.735225,-1.89005116,50.0,64
SilentSeer,68.877082,11.065973,,73.3333,21
