nickname,roi,mdd,sharpRatio,winRate
sanshiv,99.2688292,37.549615,3.58634786,91.5493
Banker_,99.05336581,51.83811,3.39261277,91.8919
BenhVienTraVe,99.02425456,24.614346,2.73178363,66.6667
Haxnoofficials,99.022456,2.4228469,,100.0
nhatvechai88,98.92366434,26.911726,3.91920746,66.3265
thaieibvn,98.886995,29.616293,,50.0
KNOTMAIN,98.80882072,1.9175065,6.95963609,76.3668
小龟快跑1,98.476821,0.0,,75.0
x2King,98.46516104,24.438519,2.95718016,21.7391
从小就稳健,98.25081642,29.213651,3.88633108,87.7551
带刺玫瑰,98.191754,18.859593,,69.2661
SatoshiCoinmaker,98.057118,12.673708,,67.6991
带单幸运召唤师,98.038394,3.1743087,,96.0
Roger_yr,97.806279,13.131219,,97.4244
Phanthangsg,97.58066547,13.760065,7.31042609,93.4343
紫微斗数_易经预测,97.38914233,30.550493,4.85334299,64.0
xx07xx,97.172746,7.6580491,,69.2308
Xpert-Trader,96.714642,45.419741,,62.069
大冒险家QVQ,96.68774543,73.855372,4.06721977,76.5432
profitable-trade,96.54532769,3.9580783,1.53294065,88.5246
梭了么,96.39943793,4.2276962,3.25379076,100.0
wzly,96.01364107,11.146618,10.37928988,48.1818
Metatrade,95.946592,3.7841548,,85.7143
币安院长,95.613762,38.977423,,98.4615
奥迪A8L,95.472547,26.275873,,80.7692
BDN-Bot,95.241473,5.1668768,,98.8235
复利镰刀王,95.106253,63.090736,,80.8989
MASTER_trade_BTC,94.9098785,25.655407,5.51513147,50.0
龙年牛气冲天,94.680392,0.35408825,,0.0
TixPy,94.64053689,47.751529,3.79284338,87.5458
burkantfreeg,94.060522,2.0394346,,42.4242
达波牛牛,93.71168546,47.331275,3.50623045,33.3333
CEOUA,93.617784,43.554251,,66.6667
Quy_dream,93.55503016,59.79473,4.55096646,92.6471
Winvestz,93.36385487,21.775759,7.9295983,69.2308
FlashCrashBot,93.0944128,4.9217718,11.26848039,81.6299
Cruiser365,93.07256536,34.522552,5.03628592,70.922
遲早都要跟我的單為何不一開始就跟,92.97625,7.080392,,88.0
tolive,92.839191,16.498993,,56.4516
Salahuddin20041,92.77824,15.899956,,100.0
APoro69,92.73943841,13.117279,5.78895035,65.3846
MysticTrader123,92.70736218,24.701664,3.77478103,42.8571
没有做空的按键,92.59025,5.2606839,,60.0
The_CryptoPanda,92.4565857,18.640615,7.12759904,88.2813
当代利弗莫尔,92.35864174,16.207076,7.16112439,44.5652
360麦兜,92.25882893,70.189213,2.2515859,70.7317
王阳明-知行合一,92.1953127,16.360373,5.64356785,58.9286
楠子,91.562006,8.7101423,,100.0
Binancie,91.23941805,29.692084,4.59979961,95.7447
映月水,91.01868256,24.972291,5.07067971,94.1176
仓老师,90.996811,1.9634604,,75.0
Money-Chain,90.591409,0.0,,94.4444
比特克拉克,90.57880118,89.673358,3.022272,80.0
Tradingcommunity,90.44376741,26.852215,5.09875226,92.4731
trade_obmen,90.289518,3.0384289,,92.3077
Criptomarkt,89.968273,19.671001,,97.9167
Ace-Joker,88.97441061,64.130731,,68.1818
陆生,88.699928,16.352663,,100.0
07Trader-Profitable,88.39672527,53.554672,2.38111328,0.0
Doge2024,88.30081393,24.079405,2.95324068,56.1053
ProfitManiac,87.50788591,7.1998218,8.40068496,81.0734
稳健投资,87.502251,20.985221,,80.0
Savior1802,87.281983,0.0,,100.0
山顶资本-饿了么1号,87.16947976,19.479309,4.80411063,61.9048
Rai-Trading-group,87.05037,25.316031,,90.2715
向U看齐,86.831507,61.052993,,97.619
Sebegu,85.64741583,33.738767,6.66934925,53.5714
Can1m,85.54833375,45.323724,3.2515418,29.4118
CoinBiz,85.33878911,35.130784,5.23807587,76.8519
SAITUHKAWNG阿杜,85.085211,14.077101,,100.0
王阳明心学,84.98676,0.0,,63.6364
Ankush_deswal,84.86881042,30.04096,3.12072251,72.7273
WorldCido,84.31980717,36.82554,3.08517412,71.4286
种优得优,84.043103,5.163143,,83.9286
sameryunus,83.65232529,30.715968,5.8920959,89.7384
Dorian_Nakamoto,83.632179,17.87014,,77.8689
Poti-1,83.53119263,17.425155,5.30950393,72.1311
GODSTER,83.49846548,15.047732,2.07196138,47.5
Falcon1515,83.4013837,20.377395,1.78508437,85.5556
大额,83.160134,27.525449,,88.8889
神剑002,82.953875,3.5374271,,56.6038
Coffee50,82.850088,0.0,,96.2963
DragonMoneyUpVip,82.78414,6.4362757,,97.2603
Experienced19,82.66253909,58.410244,1.09115824,90.4762
Actavio,82.43588472,12.293571,7.840889,99.0765
CryptoTrader9812,82.273447,7.7182971,,82.1429
萤火,81.679602,36.324106,,73.1405
勇往直前小王子,81.31246537,28.451615,2.57709179,72.5
Spaceforcer,81.14641,32.817133,,70.0
