nickname,roi,mdd,sharpRatio,winRate,tradingDays
1000U實盤挑戰,122.35207192,19.209777,5.01092462,92.4051,65
GPSv6-OrderTrade789,122.204815,67.594604,,69.7674,6
El-Guss,122.14143446,54.745105,6.21166418,74.6479,37
叶凡--,122.117732,48.766632,,74.7899,7
蜗牛慢跑呀,121.65328196,42.730367,3.3475265,81.7073,38
collectcoin,121.32136831,37.201933,6.31282722,43.75,57
西红柿的生活,119.631598,71.256858,,70.0,10
Trader_Rony,119.204636,58.689403,,83.3333,10
winnermessi,119.050853,32.84423,,83.9286,25
0xToTheMoon,118.72257495,2.8011492,6.51254925,92.2078,155
TradeHard_or_GoHome,118.57999989,6.246249,,75.6881,28
李富有,118.46488913,47.590671,3.55333739,33.3333,138
exquisite-Master,118.406247,0.84494364,,88.3495,21
RoverJr,118.19524281,36.749878,,59.0909,30
CryptoTrader9812,117.377334,7.7182971,,83.0769,7
深圳啊宝,117.1343281,32.950461,5.64150129,36.3636,67
BigStar5566,117.00154027,50.003955,3.54041738,94.4109,38
ARIARDA,116.716833,36.734701,,62.8571,13
Maedre,116.22087492,24.05636,3.55792256,96.8421,77
TraderCES,115.66490143,38.495031,3.68294253,59.0909,126
冰糖橙178二号,115.46936684,76.462206,4.41083434,92.5714,35
P4Provider,115.04340607,15.395458,3.77655754,93.5065,167
我不是归零膏手,114.680519,22.702378,,82.7586,8
子歌社,113.70984874,25.949037,3.37854692,39.8374,215
btcdacong,113.70589244,22.975399,-3.78237659,74.1935,84
朱菲特,113.608011,15.301228,,40.0,10
Cryptoxn,113.42682044,4.6521042,6.99170939,72.2628,107
BAY_NEXUS_TR,112.4043173,34.050398,1.88423113,0.0,77
AslanozyarTR,112.1961735,23.015683,1.8247526,86.5979,32
爱吹牛,112.127301,10.186463,,50.0,1
虎哥量化,110.927301,55.671048,,87.5,4
Moneyhiker,110.5460259,18.277522,1.98754138,56.8182,105
xx07xx,110.274682,7.6580491,,64.2857,8
Jayzilla,110.233224,90.774834,,49.0196,14
Nupita,109.95832109,4.2263908,5.88338872,98.3333,107
Schponkk,109.934549,37.045182,,61.9048,14
Cassandra_OCTA,109.48808875,11.438007,5.76543257,86.8852,70
SuperLuckyMoney,109.37054091,37.181926,2.75893091,31.8182,85
冲动是一只蘑菇,109.27952,26.789753,,54.1667,6
轻易不出手,108.863277,16.02317,,68.2927,9
遲早都要跟我的單為何不一開始就跟,108.432643,7.080392,,92.3077,14
44042,108.30782876,11.861022,4.40954119,33.3333,127
亿万富翁梦,108.055918,18.859593,,69.3694,18
KerningCity_Huhsung,107.903952,35.173636,,53.3333,5
九头鳄85,107.891293,0.0,,85.0,1
Te_Dan,107.870867,33.00507,,91.6216,25
没有做空的按键,107.602039,27.590742,,71.4286,8
CryptoPick24,107.39119928,16.954382,5.00730454,86.1538,45
Magic_Algo2,106.95514216,7.0781375,7.89635417,99.2669,85
幣圈老黃,106.56168156,43.92284,,63.3333,28
蓝鸟,105.800467,0.0,,61.1111,2
Poti-3,105.57940434,0.0,5.72777785,84.3164,108
当代利弗莫尔,105.54375059,10.445709,7.05166206,44.6809,42
WannaCrazyZz,104.69706121,46.565214,3.88731009,72.5806,108
小龟快跑1,103.640353,0.0,,77.2727,2
DZ-赵短鹏,102.97875095,65.822366,4.00618947,98.3051,33
Focusprofit焦點利潤策略交易,102.01612289,8.8747632,6.09634613,59.1837,71
ATaher79,101.587708,62.662023,,60.0,24
T-Cosmos,101.43125164,16.773649,3.23640416,78.5714,42
WorldCido,101.08091625,36.82554,2.89109031,71.4286,47
Nurtopu,101.06128149,37.473332,2.37511958,84.7826,84
Sababa007,100.953152,24.271417,,58.3333,27
trade_obmen,100.838056,3.0384289,,92.5926,25
sov_td,100.368659,13.348271,,82.2581,8
松栏,100.13300516,2.0701584,7.44806317,60.8,78
mj2thoo,99.94259091,69.692,3.51972335,0.0,91
向U看齐,99.776869,61.052993,,97.7778,21
LucidHoang,99.68593206,79.831895,,24.0,29
Tradingcommunity,99.63754134,26.852215,5.27612414,91.3043,33
thaieibvn,98.886995,29.616293,,50.0,92
B必赢,98.76846355,43.049285,4.50120772,83.3333,35
PermiumX_Quant,98.761261,23.89437,,57.8947,6
Phuongichi,98.75228421,36.40347,2.95551552,35.2941,170
交易者九爷,98.730155,0.31291727,,71.4286,2
2Crypto-Champion,98.43896,96.949941,3.64220601,95.8097,50
肥樹懶,98.23960234,47.933891,1.85199192,100.0,103
BenhVienTraVe,98.17599174,24.614346,2.68319457,75.0,153
奥迪A8L,98.072727,28.560419,,89.6552,9
AnalyticExcellence,97.97810551,26.678883,6.01305767,83.3333,35
Metatrade,97.673823,3.7841548,,87.5,10
KNOTMAIN,97.63926557,1.9175065,6.98151808,76.0669,97
人为机器人,97.431738,81.897616,,57.7778,4
Roger_yr,97.202936,13.131219,,97.7987,24
Salahuddin20041,96.974359,15.899956,,100.0,17
Hip-hop,96.58624657,25.569083,3.9201433,66.6667,97
SatoshiCoinmaker,96.521944,12.673708,,67.2489,25
梭了么,96.39943793,4.2276962,3.23611952,100.0,93
