nickname,roi,mdd,sharpRatio,winRate
GoldGold28,128.60182595,36.061809,2.73119325,0.0
skysailor,128.58773977,61.622159,2.66902371,51.6556
steadyman2024,128.562572,59.344784,2.91996279,53.9604
Pepekamikaze,127.884502,35.406457,,41.791
朱菲特,127.333511,2.7908349,,48.1481
ARIARDA,127.056366,36.734701,,65.0
CryptoWhale88,126.6841882,21.375358,5.18655,95.5556
GoldGoldLion,126.46521292,36.724799,2.53177541,0.0
Borsacibaba-钱,126.101626,54.217579,3.28560106,93.1818
Exp0sure,125.543699,45.441649,3.66409232,98.75
CheezuCheese,125.449968,52.296529,3.80045765,89.7371
Noname1985,125.035968,11.30049,,100.0
Heripotur,124.956225,19.656006,,96.9697
Quy_dream,124.750404,59.79473,4.55096646,92.9078
StableSafe,124.227694,51.629842,3.5539534,64.0625
Hekaro88,124.004626,68.556049,,99.6377
Stable00,123.84628,28.792093,3.17912154,30.8511
STANDARDPAY,123.78375519,52.907651,3.00966926,90.4225
我不是归零膏手,123.618225,19.591104,,85.1852
天天赚日日赚,123.124222,26.218267,3.79782955,96.3303
Short-term_King,122.86423057,61.616926,3.34394895,95.549
goodderek,122.71513326,16.580411,2.03449144,61.1111
PermiumX_Quant,122.558803,23.89437,,58.8235
十年币圈俩茫茫,122.537536,48.969773,,75.885
橘子头,122.467652,30.839964,3.56051595,89.6484
Wyston5252,122.366491,20.460302,5.46889949,78.7879
wzly,122.078756,11.146618,10.37928988,48.3333
Algo_TR,121.579538,20.706475,5.44420537,97.3539
狗庄内鬼,121.089796,41.424741,3.42000295,75.0
情况不对立马撤退,120.978618,0.0,,93.75
nhatvechai88,120.4613338,57.845285,3.91920746,66.6667
幣圈老黃,120.184762,43.92284,,63.3333
BriceWu,120.12065,11.835353,6.41084346,80.0
RoverJr,119.914789,36.749878,,47.3684
ane1213,119.81852014,36.010193,2.36581654,72.3077
sov_td,119.470611,9.7980056,,79.3103
午后阳光,119.455732,9.9912899,8.20462997,56.1798
金牌达人鹰眼,118.974705,17.354949,,80.0
TRADERMANX,118.821753,2.6802352,,100.0
Prosecutor,118.598754,24.965744,,78.4483
THEBESTWINNER_BOT,118.49704473,42.658454,3.24275608,97.7273
GoodFelix,118.477199,44.278843,3.93424152,71.978
Kelas_Umum_Dan_Bebas,118.447019,43.157287,3.9754428,98.1172
Fefoxx,118.35762857,33.866227,3.10900161,96.9697
Luckytaotao,117.590578,56.443098,2.60326907,64.0
xTream_Trading,117.57682062,65.143496,1.92647909,58.3333
蛋蛋发光的男人,117.49480749,33.674246,2.62378904,67.7419
FredyFlamengo,117.33260364,12.297938,4.22119575,98.3437
逆天改运,117.222836,0.0,,89.4737
Discordian,116.721819,41.976797,5.03275376,93.9286
Binancie,115.966256,29.692084,4.59979961,96.3636
Anonymous-User-1afcd,115.8148858,65.09248,2.38593732,5.7143
ATaher79,115.163652,62.662023,,60.0
赞美技术,115.150703,13.586794,,66.6667
无名小兵,115.140971,0.0,,82.8571
wolverayn,114.98168,14.340908,,100.0
合约养家,114.834571,18.905642,,97.0
winnermessi,114.289627,33.210697,,90.0
0xsept,114.14611237,29.203758,2.0368993,77.1084
送你一朵小发发,113.451061,80.878167,4.03807682,52.7094
Chipi_real,112.9805762,88.64629,2.51413021,59.4828
manicptlowrisk,112.96220342,10.685523,7.62295596,99.6511
高级K交易员,112.27891449,29.579512,3.5733522,83.2487
ANDY多元幣種爆擊,111.960201,28.337313,3.59636267,49.0909
一天一梦,111.948318,41.709021,,66.6667
Fight-club-Dubai,111.68626,14.809446,,50.0
向天而歌,111.043417,33.018166,3.41865032,44.4444
luckybboy,110.983164,82.395587,4.30132211,71.7949
先来百分之一个小目标,110.863433,0.54242925,,100.0
sameryunus,110.803918,30.715968,5.8920959,94.0211
Sora9449,110.790869,27.755731,,40.0
Maloz,110.76425228,21.656383,4.91829704,99.1143
Te_Dan,110.660321,33.00507,,92.3288
风控官VS交易员,110.207552,62.345014,,60.0
Scalping_machine,109.936382,56.483842,3.81514306,96.7742
ChenO_O,109.46523507,46.950993,4.52019603,35.0
novakapital,109.01229037,17.400827,2.70200419,50.0
十倍大军,108.78404,0.0,,77.551
Tradingcommunity,108.573932,26.852215,5.09875226,92.8571
我们儿,108.254401,39.816567,,28.5714
合约七八年,107.966878,75.935709,3.25410107,59.6774
Yy0642,107.782086,58.266182,3.72045466,70.8197
Banker_,107.356815,51.83811,3.39261277,94.2308
SBC-PLUS1,107.33314329,47.493964,1.49671266,90.625
fetih34,107.24029,19.165295,5.25527971,74.7253
highlyprofitable,106.735223,16.889344,6.51640513,41.1765
Max-Alpha,106.547536,75.122363,2.62206983,100.0
MarketMaker101,106.410612,18.724858,4.12227402,83.4225
2Crypto-Champion,106.131094,96.949941,3.77337679,96.942
presentTrading,106.00588686,40.911493,2.99663037,69.3277
CryptoYJ,105.998633,43.801353,3.9818908,78.0488
The_Executioner,105.976591,64.512218,3.40037787,85.0
